CP015498.1	k141_180	98.956	50649	439	28	921972	972602	50968	392	0.0	90518
CP015498.1	k141_180	98.501	14342	159	16	898235	912551	77893	63583	0.0	25242
CP015498.1	k141_180	98.996	10953	85	7	884908	895854	90257	79324	0.0	19594
CP015498.1	k141_180	98.876	3024	30	1	913970	916989	63585	60562	0.0	5393
CP015498.1	k141_180	98.754	2007	19	1	918361	920361	60569	58563	0.0	3563
CP015498.1	k141_180	99.155	1420	11	1	895844	897263	79301	77883	0.0	2555
CP015498.1	k141_180	99.052	422	4	0	921551	921972	51353	50932	0.0	758
CP015498.1	k141_180	98.701	154	2	0	972592	972745	294	141	1.11e-70	274
CP015498.1	k141_180	97.368	152	3	1	428693	428844	90397	90247	1.12e-65	257
CP015498.1	k141_180	99.291	141	1	0	113272	113412	1	141	4.01e-65	255
CP015498.1	k141_180	99.291	141	1	0	982309	982449	141	1	4.01e-65	255
CP015498.1	k141_180	99.291	141	1	0	1422652	1422792	90397	90257	4.01e-65	255
CP015498.1	k141_180	99.291	141	1	0	1915217	1915357	90257	90397	4.01e-65	255
CP015498.1	k141_180	99.286	140	1	0	1803824	1803963	140	1	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	1421194	1421333	140	1	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	427235	427374	140	1	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	111814	111953	90258	90397	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	1805282	1805421	90397	90258	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	983768	983907	90397	90258	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	1884379	1884518	90258	90397	1.44e-64	254
CP015498.1	k141_180	99.286	140	1	0	1911350	1911489	90258	90397	1.44e-64	254
CP015498.1	k141_180	98.571	140	2	0	1684057	1684196	140	1	6.71e-63	248
CP015498.1	k141_180	98.571	140	2	0	245001	245140	140	1	6.71e-63	248
CP015498.1	k141_180	97.143	140	4	0	2064315	2064454	1	140	1.45e-59	237
CP015498.1	k141_180	95.890	146	5	1	246459	246604	90397	90253	5.23e-59	235
CP015498.1	k141_180	95.804	143	6	0	1685515	1685657	90397	90255	6.76e-58	231
CP015498.1	k141_180	96.429	140	4	1	1912080	1912218	1	140	2.43e-57	230
CP015498.1	k141_180	96.429	140	4	1	1054306	1054445	139	1	2.43e-57	230
CP015498.1	k141_180	95.745	141	5	1	1915948	1916088	1	140	3.14e-56	226
CP015498.1	k141_180	95.035	141	6	1	1885109	1885249	1	140	1.46e-54	220
CP015498.1	k141_180	94.406	143	7	1	2017362	2017504	142	1	5.26e-54	219
CP015498.1	k141_180	94.406	143	7	1	1646514	1646656	142	1	5.26e-54	219
CP015498.1	k141_180	94.326	141	7	1	710532	710672	140	1	6.81e-53	215
CP015498.1	k141_180	94.326	141	6	2	1615685	1615824	1	140	6.81e-53	215
CP015498.1	k141_180	93.617	141	7	2	1081840	1081979	1	140	3.17e-51	209
CP015498.1	k141_180	92.414	145	11	0	1836290	1836434	90253	90397	1.14e-50	207
CP015498.1	k141_180	92.308	143	10	1	1237944	1238086	142	1	5.30e-49	202
CP015498.1	k141_180	91.429	140	12	0	1614335	1614474	90258	90397	3.19e-46	193
CP015498.1	k141_180	91.429	140	12	0	2062869	2063008	90258	90397	3.19e-46	193
CP015498.1	k141_180	90.780	141	13	0	1647956	1648096	90397	90257	4.13e-45	189
CP015498.1	k141_180	90.909	143	3	1	1834511	1834643	90255	90397	1.92e-43	183
CP015498.1	k141_180	89.286	140	6	1	711990	712120	90397	90258	1.93e-38	167
CP015498.1	k141_180	84.138	145	13	9	2170795	2170933	141	1	7.05e-28	132
CP015498.1	k141_180	96.296	81	2	1	1837739	1837819	1	80	7.05e-28	132
CP015498.1	k141_180	83.448	145	14	8	1092195	1092334	1	140	3.28e-26	126
CP015498.1	k141_180	97.059	68	2	0	1829079	1829146	90258	90325	7.10e-23	115
CP015498.1	k141_180	96.970	66	1	1	1840666	1840730	75	140	3.30e-21	110
CP015498.1	k141_338	99.190	42347	278	20	1181719	1224044	47757	5455	0.0	76240
CP015498.1	k141_338	98.637	4990	41	10	1231279	1236257	5464	491	0.0	8813
